reg            Value
0xff960000      0x3133302a
0xff960004      0x1
0xff960008      0xa07
0xff96000c      0x0
0xff960010      0x5
0xff960014      0x6
0xff960018      0x40004
0xff96001c      0x0
0xff960020      0x0
0xff960024      0x0
0xff960028      0x0
0xff96002c      0x1c
0xff960030      0x0
0xff960034      0x0
0xff960038      0x3f02
0xff96003c      0x438
0xff960040      0x0
0xff960044      0x0
0xff960048      0x7
0xff96004c      0x2d
0xff960050      0x3cb
0xff960054      0x2e
0xff960058      0x7
0xff96005c      0x8
0xff960060      0x924
0xff960064      0x0
0xff960068      0x1000000
0xff96006c      0x1637
0xff960070      0x8e96
0xff960074      0x15
0xff960078      0x3e803e8
0xff96007c      0x0
0xff960080      0x0
0xff960084      0x0
0xff960088      0x0
0xff96008c      0xd00
0xff960090      0x0
0xff960094      0x1
0xff960098      0x400040
0xff96009c      0x14102710
0xff9600a0      0xf
0xff9600a4      0x2003
0xff9600a8      0x0
0xff9600ac      0x0
0xff9600b0      0x1529
0xff9600b4      0x2
0xff9600b8      0x4a4a
0xff9600bc      0x0
0xff9600c0      0x800
0xff9600c4      0x0
0xff9600c8      0x0
0xff9600cc      0x0
